min_x,min_y,max_x,max_y
137.97884245605988,170.39427268602472,165.443344598832,210.18975786496068
551.0343432979614,573.5533653104287,562.5661409536901,580.6955439576859
134.28892721389118,845.7217748833299,158.0418110284031,870.7320180767521
159.4742046966999,162.67169835658677,208.80445052658885,203.25182564915053
518.7001414712282,910.5608774974773,543.242620823159,943.9869670678765
267.4005523219755,849.9418132853594,313.6979892106525,883.4907253752264
168.3007035549945,76.3773784425849,191.670835991066,104.9683041129955
176.7830064027841,369.5806252036441,199.91558890197035,384.0336587018671
620.1268390798565,922.5228482309908,668.9270650608179,947.2605072194494
65.98778729022078,102.60037447743231,82.7970406729539,109.46308768235347
77.45600117559795,501.4827856171828,126.94974798388941,506.81605666138387
44.00562607115113,681.5989154067372,87.61006337911063,725.1522211864844
912.6944954590322,96.98631253982778,954.2459405979632,134.66513247832873
632.842752099393,640.5753101140943,677.1997371621887,688.6568893197408
781.3433389603537,767.2159007268066,809.0002190466186,813.5560256633258
454.8424565979355,881.3944953516811,467.1942231892521,899.3429903732838
863.7451148118782,396.4877124248522,899.75243658809,431.04473626430666
237.1288458101132,221.29313467369712,267.0405844467327,232.87645671655315
859.964430094165,328.4577670188185,877.2964660531834,376.7188500894817
827.9706831984154,351.07556236218886,840.3171493930363,385.54829940714865
542.9954348374371,450.09645519690673,576.3308683753781,482.2829278772781
687.3851858824748,263.0965306243674,729.79681020262,292.02356839531814
186.67520410367007,269.5804326010951,231.69567164270654,279.26125811456296
441.2352412567063,469.8207896122143,467.1445310821163,500.7897563443415
907.3988985754719,443.30538181519864,940.3881164521039,452.24036096827103
831.0564662075551,565.0619724066856,843.3852755784471,605.4510601180604
387.8178463176685,760.4207489373498,408.1715393472777,771.521530792048
648.692551974173,874.489043622818,670.306155707741,899.8901330578325
631.5153675294079,560.8029195418375,671.032766113996,573.4393204655302
281.54290211391447,818.748580298058,331.0563440937508,826.3479314885276
279.2651123935698,549.0744487861771,324.2806116414172,574.1279779770589
920.8735354834195,848.1637795421041,952.3897820122585,873.3810220537423
529.4575267984068,741.0665882215753,560.275078293737,748.9168698580236
932.0133586448669,843.6794104432835,943.0416655441736,864.6558349937837
397.2606227692934,782.696077223554,405.4697226642845,809.2840823601513
178.61474519124678,435.3233288942021,200.90500701152231,470.01797316748736
623.597791321637,114.11528649922238,639.4445851246876,155.0201976945764
806.4698320172744,447.1784375079739,837.9902288192865,457.79055632579474
569.2550246500862,577.417489547095,607.798548778417,606.6658942169414
277.26529560189556,662.6355407381507,314.36996070418104,679.9886596427607
115.19314387566178,350.5920301332944,152.74938056665113,386.6646325229338
109.63303974489239,193.59166851487925,133.54303606011462,219.99155804192065
935.7862948632949,327.6404902240303,961.2415911774947,339.16696658810844
453.899583581083,594.6858423627118,476.5767210424474,606.7042926799102
375.46780168833953,591.037465954922,414.77787532486076,619.1769147390355
484.1008397723879,735.1913434598732,507.4957162856803,755.5980122680712
793.9094378920367,151.12108520948405,815.381690902954,175.2822149411697
934.377656277124,94.62588184582583,954.7255974129863,111.70927164160909
429.5536878953024,769.7372842860804,447.7900302744113,777.1027667331847
59.80866670628564,112.27747601069576,82.1417522349709,123.67156709304454
459.13556603856256,67.85977626425316,498.6678689208101,103.49308164097272
705.1627073669398,601.0006326933955,738.4593799501441,620.7594769635463
59.27806800919736,931.5422505360925,81.65469142004989,967.8806008176277
207.55017058698067,166.716439581238,220.28363145963405,195.56857400668562
385.450833449073,468.87405985521184,398.64406996652974,502.304674995304
588.9608642453358,500.9976156877275,630.5189685014547,528.3662546287134
292.81439272173174,566.2117906841867,334.8384362771512,580.9359191227016
481.6589316069294,871.9436357151245,517.0925078055664,903.4678775349113
203.38167413354952,703.5673256232978,226.49853742196123,742.9733919427083
695.6598972128436,210.1634709419474,724.1379687711719,231.00378900987434
789.6315267271616,248.2766146047539,828.4815736299813,275.343955794976
763.3263883348812,466.3208462733021,796.7988105703786,500.44817828213945
468.3386256657904,508.02523844116513,498.40749767027336,538.2379282385727
851.7762783039865,613.3429483474753,860.449131228498,624.2490771317943
279.16525360084233,137.43620145272368,293.45574708102856,147.72163098965555
656.6184203244807,409.6498485143175,678.3479333652879,432.91791482987816
808.2969071244408,864.1976386999442,817.183371690692,898.1208383041966
266.1663946451918,505.2027613130471,306.0850640027949,534.2784200454109
780.0444080489383,681.404159593727,808.8983540482695,689.0915682393716
164.65089189577114,511.96801492496047,183.9036464792998,542.8365605220681
90.42494739841743,99.96222632502017,103.00287850653794,137.20069126017356
693.6934479327057,517.9818043747745,735.2857043744067,554.5528178742371
568.9506706837398,613.6902509062223,588.1698169842035,627.1830458977935
367.35724029794767,540.3353181376904,373.1957747488842,579.8627040439203
902.7491966846101,36.035863943116176,925.8366620918114,71.7050051150446
627.7818454179671,399.19203052586624,650.0715180113011,409.7996400721705
218.27142212923204,779.5787462060335,266.12664427259034,828.0401717071348
94.33099640750177,757.26097229379,103.46744748518344,801.8158002428759
918.1690807884027,357.9084738580062,934.7167506229407,403.0213202134361
336.1649492214942,290.2044218085612,351.02688103070204,330.8746425104559
736.883170303032,407.79438811353174,779.3625448156293,443.9725335196437
